Hash,Family,first_submission_date,code_sign,cpu_type
f8676ea14d585f8e4aec9d51c6c5154d,malsource,2024-08-24,,x86_64
f11ed5fedb0788622fac3e619af67a76,SINGLETON,2024-09-10,,x86_64
e5033122b99ce9fa039a1b9949e27daf,multiverze,2024-09-04,,"x86_64, ARM_64"
df9556b07c1f9c2658abe11718291095,SINGLETON,2024-08-21,MissingPlist,x86_64
deff6ff75afa26e8cad764b617c43d6e,SINGLETON,2024-08-21,MissingPlist,x86_64
c8de3ac533eb97eb18f738b1d6b73c3f,SINGLETON,2024-08-24,,ARM_64
c8aad9227ac6b994195ed32e0dc46956,imobie,2024-08-29,MissingPlist,x86_64
bdd31bc0f24e4f975bd4ce09d46801e5,puagent,2024-08-21,MissingPlist,x86_64
af5e85447e88175d1bc12f911f72e55f,puagent,2024-07-08,MissingPlist,x86_64
9bbb49df22ce9e689716226d9ba85415,SINGLETON,2024-08-24,,ARM_64
8b8c28b22a835f7c212d6113d114b155,SINGLETON,2024-05-27,,x86_64
6002596c63aea92e8d6ed4d693bba947,puagent,2024-07-30,MissingPlist,x86_64
5e2e824c89fae9299b0ff8af44844acd,SINGLETON,2024-08-21,MissingPlist,x86_64
3a13176423f31a4c9806426038814c13,SINGLETON,2024-08-21,MissingPlist,x86_64
2668300722e64832d622d4a7036db7e7,puagent,2024-08-31,MissingPlist,x86_64
e8a7291b768422cf0b9fa4df7d951d66,SINGLETON,2022-09-05,,ARM_64
13856a78b5f0ebe5af0b87f446a5b9bd,SINGLETON,2024-07-08,,x86_64
e78230e4b8143783fd9c2851e94c9570,SINGLETON,2023-06-10,MissingPlist,x86_64
0420ed4110f3d6d9bcb098a3bdb15e96,puagent,2024-08-14,MissingPlist,x86_64
1073a3c89e5c3de0d505dfb671d8c479,SINGLETON,2024-09-05,,x86_64
e678f021e2ccb7b7099ac5c886adf8e3,puagent,2024-07-06,MissingPlist,x86_64
fe204c53fc56be9f15ebcf0fcee15264,SINGLETON,2023-11-22,Valid,x86_64
fdca2c505f861e9c3d7e2d3008743c84,reverseshell,2023-10-10,,ARM_64
e27cb516d25ecf300d332e2ac77754e3,buhocleaner,2021-12-25,Valid,"x86_64, ARM_64"
fdb8a283ee6b9d97798c0c3f65c799f2,SINGLETON,2020-08-17,Valid,x86_64
e230e693911bec9c9850466f1bf575bb,tuneupmac,2018-11-23,MissingPlist,x86_64
e05e8d7c6c39039f65eeee60ce86a194,SINGLETON,2024-04-16,,x86_64
fbd2f2bcb8999bc233a3259222636ad8,SINGLETON,2021-09-24,,x86_64
de70f775b3404ae212027f7f62caa508,SINGLETON,2022-12-11,,ARM_64
de6cfb1ad882be0ca5bc9f71044ed8ea,SINGLETON,2024-05-06,,ARM_64
fafabc47786ceb929c8d2052fbbba5a6,SINGLETON,2023-06-09,MissingPlist,x86_32
faf3cd148db47efeb921b20dfa0ae561,malsource,2023-06-22,MissingPlist,x86_64
ddebf7fe24774cda172a02f89da3ed4a,SINGLETON,2023-06-17,MissingPlist,x86_32
f92b0ea627132a92d3e0a8256f3d3fe9,puagent,2024-04-25,MissingPlist,x86_64
dc776ee5db25e14e4cddebd431cb1b59,SINGLETON,2023-06-23,Valid,x86_64
db86cbc4fb6311fbb9c4f766a52aa498,bitcoinmin,2024-11-05,,x86_64
dafc66161759ec647fdf03f3f4aa3147,SINGLETON,2023-06-18,MissingPlist,x86_32
f65f1e9db9dbf5aa938abd521229e548,SINGLETON,2023-06-09,,x86_64
f5675e7a2744334d496c05c2e5850684,SINGLETON,2023-06-17,MissingPlist,x86_32
d9c12ce1732ba608b91300d5912a5481,SINGLETON,2024-03-04,,"x86_64, ARM_64"
f50feab7eb50c59e7360bc0dcd0b8410,SINGLETON,2024-04-19,,x86_64
f451171ed2680d79a6fbf01b602265b1,imobie,2016-04-27,MissingPlist,x86_64
d92b316f9a72e1a6603622ea7f731818,SINGLETON,2024-04-19,,x86_64
f225d93ab11f8bffd2c11ca3b927afef,SINGLETON,2024-08-25,,x86_64
f1cf59fbbd20379756167038e0c24bb4,SINGLETON,2022-09-27,,x86_64
d5703dbe99f056d094e86da9404fef1d,puagent,2022-03-06,MissingPlist,x86_64
efb1773a3f732c532a62141b7a5ea7ab,buhocleaner,2024-03-29,Valid,x86_64
