Command,Count,% Over total
sh,5009,22.80%
mkdir,3191,14.53%
osascript,2931,13.34%
dscl,2595,11.81%
/usr/bin/syslog,2537,11.55%
system_profiler,2378,10.83%
sh -c osascript,2301,10.48%
sw_vers,1884,8.58%
rm,1665,7.58%
chmod,1549,7.05%
defaults,1234,5.62%
rsync,1177,5.36%
find,1131,5.15%
pkill,1108,5.04%
ksadmin,1099,5.00%
echo,1070,4.87%
sh -c temp_dir(){,1067,4.86%
/usr/bin/sqlite3,1067,4.86%
did_find=1,1067,4.86%
xpcproxy,1052,4.79%
curl,1042,4.74%
xattr,964,4.39%
continue,855,3.89%
stat,853,3.88%
ioreg,814,3.71%
/System/Library/Frameworks/CoreServices.framework/Frameworks/LaunchServices.framework/Support/lsregister,794,3.61%
chgrp,784,3.57%
grep,778,3.54%
/usr/bin/file,742,3.38%
/usr/libexec/diskimagesiod,654,2.98%
/System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/PlugIns/CacheDeleteExtension.appex/Contents/MacOS/CacheDeleteExtension,643,2.93%
/usr/bin/sw_vers,641,2.92%
/usr/libexec/proactived,633,2.88%
mktemp,630,2.87%
cleanup,603,2.75%
uuidgen,590,2.69%
/Users/maria/Desktop/file,583,2.65%
/Users/maria/Desktop/sample,579,2.64%
awk,576,2.62%
/usr/sbin/spctl,552,2.51%
killall,521,2.37%
touch,485,2.21%
return,471,2.14%
dirname,454,2.07%
/bin/sh,434,1.98%
cp,430,1.96%
ps,412,1.88%
cut,410,1.87%
lsof,396,1.80%
/bin/bash,376,1.71%
/tmp/KSInstallAction.pBXiLmXVf9/m/.patch/goobspatch,367,1.67%
/usr/bin/tar,334,1.52%
/usr/bin/dirname,330,1.50%
csrutil,319,1.45%
/usr/bin/curl,288,1.31%
sysctl,273,1.24%
/bin/cp,266,1.21%
basename,265,1.21%
sh -c system_profiler,262,1.19%
sh -c sw_vers,256,1.17%
/usr/bin/security,254,1.16%
/usr/sbin/networksetup,250,1.14%
/usr/bin/openssl,249,1.13%
sh -c mkdir,236,1.07%
break,219,1.00%
/Users/bruno/Desktop/sample,201,0.92%
/usr/libexec/remindd,186,0.85%
/Users/bruno/Desktop/file,182,0.83%
sh -c pkill,178,0.81%
