Hash,Avg_Entropy,Packed
fdca2c505f861e9c3d7e2d3008743c84,6.781371398569147,packed
fdb8a283ee6b9d97798c0c3f65c799f2,5.047893696729244,not packed
fbd2f2bcb8999bc233a3259222636ad8,6.291620927795171,not packed
fafabc47786ceb929c8d2052fbbba5a6,6.195913242858013,not packed
faf3cd148db47efeb921b20dfa0ae561,6.258551786580895,not packed
f92b0ea627132a92d3e0a8256f3d3fe9,5.283803965524073,not packed
f65f1e9db9dbf5aa938abd521229e548,6.291443299424466,not packed
f5675e7a2744334d496c05c2e5850684,6.269301188549779,not packed
f50feab7eb50c59e7360bc0dcd0b8410,6.945615152894293,packed
f451171ed2680d79a6fbf01b602265b1,5.542254220162729,not packed
f1cf59fbbd20379756167038e0c24bb4,7.867043684334593,packed
efb1773a3f732c532a62141b7a5ea7ab,4.462093295765554,not packed
ee99319a12e44ab72ca866f423f346b3,6.262603304913694,not packed
ec2f7c8d8782fe19a53499849b18418e,5.914398561727961,not packed
ea10c3a56107fc63e35c468fb6d1e6b8,6.272722607740857,not packed
e8a7291b768422cf0b9fa4df7d951d66,6.71544704605091,packed
e230e693911bec9c9850466f1bf575bb,6.079294460813753,not packed
e05e8d7c6c39039f65eeee60ce86a194,6.945361995652611,packed
de70f775b3404ae212027f7f62caa508,6.25483915693771,not packed
ddebf7fe24774cda172a02f89da3ed4a,6.363360181344307,not packed
dc776ee5db25e14e4cddebd431cb1b59,5.576614219829724,not packed
dafc66161759ec647fdf03f3f4aa3147,6.268571906588212,not packed
d92b316f9a72e1a6603622ea7f731818,6.943026442127245,packed
d3e8a3727212bd9eae72ff2b42ea36f9,6.253409208945596,not packed
d03520e45e21176aca3acc95ea6715b4,4.616897257409421,not packed
cb45d963e49310dae1376afdc9de6be5,6.689207149506552,packed
c94ac59d573c37d5dffa8e802f768c27,6.945360336544777,packed
c5205bfb4cf53528225c5f37c8bda937,6.5755625367761565,packed
c50e7b3335f281ee79cc4db07c8164d9,5.688925912324252,not packed
c3af1b8bc83a7113761fa58a831978e1,6.942356694501132,packed
c3464fda154a50bd35281c45607854b6,6.493182479861088,not packed
c1ae4d7db862c8fbdc1568a4de8f42fb,5.695822246233566,not packed
b9764666fea1962d8d0029eace00899b,6.014084829609805,not packed
b818210286a10cd2504d011aa2a237c3,5.893070842220989,not packed
b3602ef6b773136e3ee67391ac490507,6.053154995349724,not packed
af86f34aba7f03049e0ed242a94295cf,5.391860679940435,not packed
