Hash,Ratio_Malicious/TotalAV
239e063a248adc89a48f003c2e3d2fa6,32/66
201c741419056dba904149793986e0db,34/66
1f70448a7869a72bcd9c59537d9a856f,27/66
887ba738be55247b544dd51510551ea4,26/67
e86a8bf3c12b5eed1e7415bb78c85fa0,23/65
082bc53d69ffaa01fb18fa075d75779d,29/65
3b505358ce19bd176171f4ecf5a76708,45/67
ea6f7d0c392a074b81e1e4dc4fbd7be3,28/65
2d50116287fbf93b106bf27b44f0abe9,29/67
bbdc85b66e91090195bebc3dcf17e2d8,30/67
2587205573ad8d26765316c97485aeb3,29/66
76b7c96fb5a1eab3454cb1e43265dd7b,31/60
f51f751c83346dde73cbeab0488d945c,31/66
6a442706b913c56a4e07fa97b525c83d,33/65
7a07087fee2c9c2c87eec5d9224dd76c,44/67
cb0459fd79c959adf7e6694b7ebb2127,32/67
e309d3b7dfe9990674d154addfd3018f,33/64
3113a277e68c5da0320205ed75547336,33/67
a092fd2b3754f3d7cd23c54ef42c1097,23/59
3e48cc7834d31fb0b2e80f3b6bb17210,20/48
c30e137ac9579b8ecaf1fd1f4c51897a,30/65
f6a28c9d2d6a3228ae9c3d3b5c1ba805,30/66
6a121fc1be439ebcdf04a8cfceb03bb8,27/67
cee5598f056e9dc43243d9320decad2a,28/66
bfe8bc83b9683a751ab49c2857c88054,12/67
fe74745ccb54b8830c2e8368187ed3bb,11/67
9cc28fe7576a7b34c08d2eaf45a6f263,33/66
6af84c3de0967d237560e4eb1e2c4c1c,33/65
f9dd785f3acba84ca2799880b91ec8af,23/63
e68952aa02ed9aa2e1d8bd24df033f7d,28/66
84bbe045097ca928e80089baa7b3566a,33/65
c0543d741c270a529b918f7e75724cfd,20/65
f581f40d693eee189668c7026e78b500,30/67
80fa8d3c16988653d94e48944b976b58,31/65
afd43d6d5de14c68ad6b025ed302d0e8,29/66
458c38fcf9fe5f2afd6606e8e429734c,12/67
215c7f338acc6b1e835b6e62c9baec9d,28/64
f5d81214da18663e88114db9d0cbe4b4,25/59
6fec77c1e52c2a623281362b25b7807f,31/66
4954266522932ddb434e780f3b88fef2,39/67
323c1a45e9a815b1d408319e9af6c0e4,30/67
e65c16ec3dcc6ae8a1c87a8d7f002557,28/66
fa4e8cd68a30b93340bd5e0e95022c01,29/66
799d5429f00f3aec92f4f79bd09d0bc2,10/65
f982edcb7e0438feaadd02492aec3bf9,32/66
