Library,Count,% Over total
/usr/lib/libSystem.B.dylib,55578,251.89%
/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation,34689,157.22%
/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation,27951,126.68%
/usr/lib/libobjc.A.dylib,27880,126.36%
/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit,23246,105.36%
/System/Library/Frameworks/Security.framework/Versions/A/Security,20506,92.94%
/usr/lib/libc++.1.dylib,20470,92.78%
/System/Library/Frameworks/CoreServices.framework/Versions/A/CoreServices,17398,78.85%
/usr/lib/libz.1.dylib,16980,76.96%
/System/Library/Frameworks/AppKit.framework/Versions/C/AppKit,14301,64.82%
/System/Library/Frameworks/ApplicationServices.framework/Versions/A/ApplicationServices,14289,64.76%
/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork,12643,57.30%
/usr/lib/libsqlite3.dylib,8480,38.43%
/System/Library/Frameworks/CoreGraphics.framework/Versions/A/CoreGraphics,8133,36.86%
/System/Library/Frameworks/Cocoa.framework/Versions/A/Cocoa,7362,33.37%
/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration,7292,33.05%
/System/Library/Frameworks/Carbon.framework/Versions/A/Carbon,6524,29.57%
@rpath/libswiftCore.dylib,3238,14.68%
@rpath/libswiftFoundation.dylib,3230,14.64%
@rpath/libswiftDispatch.dylib,3155,14.30%
@rpath/libswiftObjectiveC.dylib,3117,14.13%
/usr/lib/libresolv.9.dylib,2710,12.28%
/usr/lib/libgcc_s.1.dylib,2672,12.11%
@rpath/libswiftCoreGraphics.dylib,2606,11.81%
@rpath/libswiftDarwin.dylib,2583,11.71%
@rpath/libswiftCoreFoundation.dylib,2536,11.49%
@rpath/libswiftIOKit.dylib,2515,11.40%
/System/Library/Frameworks/QuartzCore.framework/Versions/A/QuartzCore,2191,9.93%
/System/Library/Frameworks/WebKit.framework/Versions/A/WebKit,2043,9.26%
@rpath/libswiftXPC.dylib,1975,8.95%
@rpath/libswiftAppKit.dylib,1949,8.83%
@rpath/libswiftQuartzCore.dylib,1846,8.37%
@rpath/libswiftCoreImage.dylib,1826,8.28%
@rpath/libswiftCoreData.dylib,1826,8.28%
@rpath/libswiftMetal.dylib,1817,8.24%
/usr/lib/libstdc++.6.dylib,1782,8.08%
/System/Library/Frameworks/ImageIO.framework/Versions/A/ImageIO,1494,6.77%
/System/Library/Frameworks/SafariServices.framework/Versions/A/SafariServices,1398,6.34%
/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration,1368,6.20%
@rpath/libswiftSafariServices.dylib,1365,6.19%
/System/Library/Frameworks/CoreText.framework/Versions/A/CoreText,1263,5.72%
/System/Library/Frameworks/ServiceManagement.framework/Versions/A/ServiceManagement,933,4.23%
/usr/lib/libcurl.4.dylib,913,4.14%
/usr/lib/swift/libswiftCore.dylib,882,4.00%
@rpath/ZipArchive.framework/Versions/A/ZipArchive,798,3.62%
/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/HIServices,779,3.53%
@rpath/libswiftSwiftOnoneSupport.dylib,774,3.51%
/System/Library/Frameworks/OpenGL.framework/Versions/A/OpenGL,771,3.49%
/usr/lib/libiconv.2.dylib,714,3.24%
/usr/lib/swift/libswiftObjectiveC.dylib,659,2.99%
/System/Library/Frameworks/AGL.framework/Versions/A/AGL,625,2.83%
/usr/lib/swift/libswiftDispatch.dylib,624,2.83%
/usr/lib/swift/libswiftFoundation.dylib,590,2.67%
@executable_path/../Frameworks/libcrypto.1.0.0.dylib,495,2.24%
/usr/lib/libcrypto.0.9.8.dylib,494,2.24%
@executable_path/../Frameworks/libssl.1.0.0.dylib,491,2.23%
@executable_path/../Frameworks/libboost_thread-mt.dylib,477,2.16%
/System/Library/Frameworks/AVFoundation.framework/Versions/A/AVFoundation,471,2.13%
@executable_path/../Frameworks/libboost_program_options-mt.dylib,457,2.07%
@executable_path/../Frameworks/QtCore.framework/Versions/5/QtCore,452,2.05%
@executable_path/../Frameworks/QtGui.framework/Versions/5/QtGui,452,2.05%
@executable_path/../Frameworks/QtWidgets.framework/Versions/5/QtWidgets,451,2.04%
@executable_path/../Frameworks/libdb_cxx-4.8.dylib,445,2.02%
/System/Library/Frameworks/CoreImage.framework/Versions/A/CoreImage,443,2.01%
@executable_path/../Frameworks/QtNetwork.framework/Versions/5/QtNetwork,424,1.92%
