Hash,Size,Stripped,N_Symbols,Complexity,cpu_type,file_type
f43cdd345bb73ecc170d583b01ac025f,27647.0,True,80.0,10.0,x86_64,application/x-mach-binary
a8db79c0a0a525e4decfa2e4f7e3c7fa,27047440.0,True,1508.0,1.0,x86_64,application/x-mach-binary
0f71e9d314f06819cacfd063ba7fef24,106800.0,False,105.0,2.0,x86_64,application/x-mach-binary
d7c2c53d97a1e91a893c81a8dcc2c7f2,676224.0,True,343.0,56.0,x86_64,application/x-mach-binary
8d9af8e22ad6d799881642a1a545788d,3064000.0,True,101.0,0.0,x86_64,application/x-mach-binary
d95063209c0b14cda951c4d932919618,411552.0,True,141.0,4.0,arm_64,application/x-mach-binary
bbf70dd945d2f30249b9afbf88142c3c,49152.0,True,81.0,2.0,ppc_32 x86_32,application/x-mach-binary
04b54c8dca6700aaf7399976af77d755,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
f4179390031b0b35828fb0b59809d33f,252384.0,False,196.0,2.0,x86_64,application/x-mach-binary
9c1e3fce822b27ac17cea1187ccb0ad2,1133152.0,False,214.0,1.0,x86_64,application/x-mach-binary
acff5769e573be9ca78295a7a978e6af,792420.0,True,443.0,17.0,x86_64,application/x-mach-binary
bfbd612473ac9f0ad4375291c7e5195b,6477948.0,True,152.0,0.0,x86_64,application/x-mach-binary
cf6eb873586ff0b88cfb37ca768165ed,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
415838b7a9420ab575cdf593115a8d4c,124384.0,True,159.0,6.0,x86_64 arm_64,application/x-mach-binary
03452657bcb6238a284da86942cf812a,175876.0,True,51.0,1.0,x86_64,application/x-mach-binary
de2ca2fcd5d53630d7f037cae0117668,336568.0,True,384.0,25.0,x86_64,application/x-mach-binary
ac2882015616de261f5cb5430bd31a0f,1486792.0,True,388.0,37.0,x86_64,application/x-mach-binary
8f8705fb2779ea4b93fed567f5859487,475392.0,True,314.0,2.0,x86_64,application/x-mach-binary
5f36f5482f12b979e71f72a6d8d4523c,124384.0,True,159.0,6.0,x86_64 arm_64,application/x-mach-binary
7e566c8aa83a000450a5ab01e3a88a44,3064000.0,True,101.0,0.0,x86_64,application/x-mach-binary
5b20aeb14bae89ec9e9d983c4be4df88,826864.0,True,136.0,1.0,x86_64,application/x-mach-binary
2ed32d3df8b4a2ef891b44a6397cf6ea,187648.0,True,228.0,1.0,x86_64 arm_64,application/x-mach-binary
5221e8719aee45a628f8cbd755fc574e,1613768.0,True,388.0,37.0,x86_64,application/x-mach-binary
66153f5f919209c72153f206ef81f678,69456.0,True,13.0,2.0,x86_64,application/x-mach-binary
5481bcf0ae21e3063a81c9c2f1130a66,35456.0,True,3.0,72.0,x86_64,application/x-mach-binary
5bf3f4fa8a4a70bda645940a73b1e3f3,134832.0,True,97.0,2.0,x86_64,application/x-mach-binary
f76375b8ac231f881dbd76d57a9b3afd,16457600.0,True,667.0,26.0,x86_64,application/x-mach-binary
eb7e6394cfeaf789e05d44bde0e37b2a,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
b758b81b0d0136447b11b18bf73a5295,7947628.0,True,271.0,219.0,x86_64,application/x-mach-binary
f5ba9e7802a84782b6602f419fa95536,7129748.0,True,137.0,0.0,x86_64,application/x-mach-binary
8161fb807ac82b475126d33cb75d0c1b,203676.0,True,98.0,88.0,x86_64,application/x-mach-binary
304270e357e3b0174af3c226864bebfc,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
87db59b1a1431f7a92c4a51ee8e7d0ca,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
e130abb7c022e6a8fd06829310aefc08,3321808.0,True,99.0,0.0,x86_64,application/x-mach-binary
b26ac8993e74f9b04578c25e28188e0a,104848.0,False,126.0,2.0,x86_64,application/x-mach-binary
c4ce8d073910cf45cc9ddde1ec00b1d1,6377156.0,True,97.0,0.0,x86_64,application/x-mach-binary
56e6a5cbf5b4c2e0ff6244a62adc4013,20480.0,True,51.0,1.0,ppc_32,application/x-mach-binary
c6c7ee5a6cd7f1f26b74ba1d4d502906,195904.0,True,99.0,11.0,x86_64 arm_64,application/x-mach-binary
7d38c06867ac61cb1e7a2ca9e57752e4,1082384.0,True,224.0,1.0,x86_64,application/x-mach-binary
97624beaeb67b6f70feda2c408448e86,155644.0,True,232.0,1.0,x86_64,application/x-mach-binary
ea02f94dc9a0b73bb399a3e0ae9e1900,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
a85f050fb9abdab2e8d3d0f78f4bf901,21078866.0,True,129.0,0.0,arm_64,application/x-mach-binary
b68e4b6368717351894132ba5a131754,1163252.0,True,285.0,141.0,x86_64,application/x-mach-binary
ea02af39e969157f9e4061bd45ace773,1683232.0,False,448.0,2.0,x86_64,application/x-mach-binary
65771da178f31a48ad0a0f5f6aca767e,336568.0,True,384.0,25.0,x86_64,application/x-mach-binary
dcf41c9fa349566cc2d21f21b620a063,49152.0,True,81.0,2.0,ppc_32 x86_32,application/x-mach-binary
262011c24685bfadc1c5491125d2d247,129808.0,True,161.0,1.0,x86_64,application/x-mach-binary
f644d06c894b080f65381ee87f7533c9,16107868.0,True,1888.0,19.0,x86_64,application/x-mach-binary
88177fcccf80818141affb1a9931704d,159492.0,True,51.0,1.0,x86_64,application/x-mach-binary
22c6442e1a167815087ed609d73a9bd6,11747328.0,True,0.0,1.0,arm_32,application/x-mach-binary
df25071b57a62978197db891550f9459,159492.0,True,51.0,1.0,x86_64,application/x-mach-binary
296171d695c0311a608a577a5d529289,325292.0,True,323.0,122.0,x86_64,application/x-mach-binary
5573900abf5afccae97938b67f42fe48,2690496.0,True,162.0,1.0,x86_64,application/x-mach-binary
908e76c708e01dca5af2e0dd242c9bfd,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
f954a28380fd465ea3f44df2101b6479,13568290.0,True,115.0,0.0,arm_64,application/x-mach-binary
2338f21b5869f5ff4dfa3c459f9b485d,36688.0,False,19.0,2.0,x86_64,application/x-mach-binary
7086233c0521282aad0ac5585ac17a6f,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
0ca98a7783e6fc82d0501d1fb7e85df4,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
2b755fc4c419e3838d408883687127ac,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
f12a337965ac18a222c1a0318ddf8441,256416.0,True,142.0,4.0,x86_64 arm_64,application/x-mach-binary
52874ffa8abeb9c71c524157ade4f86c,655832.0,True,343.0,59.0,x86_64,application/x-mach-binary
3eed56897e58741a565d4f19ac0b99e7,6473820.0,True,152.0,0.0,x86_64,application/x-mach-binary
1281fdf32cf3251c257fe4a0c0bebdc4,84112.0,False,68.0,1.0,x86_64 arm_64,application/x-mach-binary
427a52368488ad6859c1f77496277c6a,8849188.0,True,325.0,122.0,x86_64,application/x-mach-binary
a9deab569c5cd7e5052bd1d42ab14150,27058256.0,True,100.0,0.0,x86_64,application/x-mach-binary
be2599103c6cde19c1fe2302b813a55d,33168.0,True,17.0,6.0,x86_64,application/x-mach-binary
d2d6303e373eadee5ad7ddc9d6ca357d,271088.0,False,152.0,1.0,x86_64,application/x-mach-binary
cea5dcb23f9542126928fc4bbc689531,36864.0,True,53.0,1.0,ppc_32,application/x-mach-binary
0882359d7a307df3ac80abb2180d723c,159492.0,True,51.0,1.0,x86_64,application/x-mach-binary
bc71b333ef96c18554ad2036fe476670,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
c3aaed0ae5799a0ec977dd834a933b7b,109324.0,True,202.0,129.0,x86_64,application/x-mach-binary
ec22e7b5055f3f9ff5ae5f86a042417c,207772.0,True,98.0,88.0,x86_64,application/x-mach-binary
fbe36a896b8802b474ae23d1cffbbf70,52144.0,True,3.0,1.0,x86_64,application/x-mach-binary
c5a675c9a20be759edb0d0616bb3dea6,159492.0,True,51.0,1.0,x86_64,application/x-mach-binary
705d8fd86c00c61a34e8f03f87345e1f,447536.0,True,589.0,18.0,arm_64,application/x-mach-binary
357cca234ee0b0e231bb7b7c855da58c,207772.0,True,98.0,88.0,x86_64,application/x-mach-binary
6c24e54abccf394b0ea0f5101b7e386c,6377156.0,True,97.0,0.0,x86_64,application/x-mach-binary
089a398c0d5b6f2d30c998d1c22b356b,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
6067efe92bbe335eb3e7c060bfb4a09a,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
a9fecbd9a5b1951224520ab87276c256,548688.0,True,335.0,59.0,x86_64,application/x-mach-binary
26b8f60705497bed49f2fc17ae365d70,50124.0,False,13.0,2.0,x86_64,application/x-mach-binary
4b2a1b99d28c46eb0d4a3178354b7905,1593288.0,True,388.0,37.0,x86_64,application/x-mach-binary
49ae4bb823d5282587b844e6d130517f,791980.0,True,353.0,9.0,x86_64,application/x-mach-binary
