Symbol,Count
dyld_stub_binder,47563.0
__stack_chk_guard,38124.0
__stack_chk_fail,38123.0
malloc,36613.0
free,34201.0
memcpy,33613.0
NSObject,33315.0
strlen,32904.0
exit,31560.0
pthread_mutex_unlock,29740.0
pthread_mutex_lock,29740.0
__error,28177.0
strcmp,27998.0
_Unwind_Resume,26337.0
objc_msgSend,25502.0
pthread_create,25214.0
objc_retain,25196.0
sym.imp.std::bad_cast::~bad_cast(),24899.0
_objc_empty_cache,24477.0
sym.imp.std::bad_cast::bad_cast(),24423.0
system,24414.0
CFRelease,24411.0
fclose,24334.0
__CFConstantStringClassReference,24244.0
abort,24060.0
remove,24058.0
fopen,23800.0
fread,23778.0
kCFAllocatorDefault,23676.0
fwrite,23510.0
memset,23249.0
memcmp,23216.0
_DefaultRuneLocale,23153.0
calloc,23133.0
__bzero,23040.0
strncmp,22528.0
memmove,21885.0
objc_autoreleasePoolPush,21362.0
_Block_copy,21334.0
__gxx_personality_v0,20950.0
closedir,20583.0
sym.imp.Array,20571.0
sym.imp.std::runtime_error::~runtime_error(),20390.0
sysctl,20189.0
fseek,19967.0
objc_release,19762.0
sym.imp.std::exception::~exception(),19623.0
bzero,19614.0
sym.imp.operator delete(void*),19521.0
IOObjectRelease,19370.0
close,19321.0
sym.imp.operator new(unsigned long),19298.0
kIOMasterPortDefault,19071.0
IORegistryEntryCreateCFProperty,18989.0
class_addMethod,18987.0
time,18945.0
objc_retainAutoreleasedReturnValue,18936.0
__cxa_begin_catch,18930.0
class_getInstanceMethod,18927.0
objc_autoreleasePoolPop,18914.0
objc_getClass,18900.0
objc_lookUpClass,18748.0
sym.imp.std::terminate(),18469.0
class_replaceMethod,18218.0
getpid,18215.0
_dyld_register_func_for_add_image,18197.0
_objc_empty_vtable,18192.0
fflush,18173.0
NSString,18081.0
chmod,18033.0
__cxa_atexit,17896.0
IOServiceMatching,17894.0
CFStringGetCStringPtr,17817.0
object_getClass,17782.0
memchr,17722.0
__cxa_end_catch,17712.0
class_getSuperclass,17635.0
NSData,17519.0
method_setImplementation,17425.0
asprintf,17413.0
rmdir,17392.0
ivar_getOffset,17358.0
open,17337.0
ivar_getName,17307.0
class_getInstanceVariable,17291.0
protocol_getMethodDescription,17291.0
class_getInstanceSize,17286.0
object_setIvar,17272.0
objc_registerClassPair,17267.0
__cxa_allocate_exception,17248.0
__cxa_throw,17233.0
class_getIvarLayout,17211.0
objc_getProtocol,17197.0
IOServiceGetMatchingService,17187.0
class_addProtocol,17142.0
class_getName,17130.0
class_isMetaClass,17122.0
objc_getMetaClass,17120.0
sym.imp.operator new[](unsigned long),17087.0
sym.imp.std::logic_error::logic_error(char const*),17076.0
property_copyAttributeList,17030.0
sel_getUid,17016.0
pthread_setspecific,17004.0
class_addProperty,17002.0
object_getIvar,16958.0
objc_initializeClassPair,16951.0
objc_getRequiredClass,16951.0
class_respondsToSelector,16951.0
hash_search,16950.0
hash_create,16950.0
objc_allocateClassPair,16922.0
objc_constructInstance,16870.0
protocol_getName,16777.0
ftello,16634.0
fseeko,16628.0
kCFCoreFoundationVersionNumber,16605.0
objc_copyClassNamesForImage,16601.0
objc_readClassPair,16598.0
object_getIndexedIvars,16595.0
sym.imp.vtable for __cxxabiv1::__si_class_type_info,16549.0
__cxa_free_exception,16456.0
sym.imp.std::length_error::~length_error(),16451.0
sym.imp.std::runtime_error::runtime_error(char const*),16436.0
fork,16405.0
sym.imp.std::__1::locale::~locale(),16392.0
sym.imp.std::__1::locale::use_facet(std::__1::locale::id&) const,16392.0
sym.imp.std::__1::ios_base::clear(unsigned int),16358.0
read,16333.0
unlink,16277.0
sym.imp.std::__1::ctype<char>::id,16237.0
sym.imp.std::__1::ios_base::getloc() const,16159.0
sym.imp.operator delete[](void*),16021.0
sym.imp.std::__1::ios_base::__set_badbit_and_consider_rethrow(),15991.0
mkdir,15793.0
sym.imp.std::__1::ios_base::init(void*),15766.0
__cxa_rethrow,15702.0
dlsym,15585.0
sym.imp.vtable for std::length_error,15469.0
objc_retainAutorelease,15443.0
stat$INODE64,15423.0
sym.imp.typeinfo for std::length_error,15319.0
sym.imp.std::__1::locale::locale(std::__1::locale const&),15121.0
sym.imp.typeinfo for std::bad_cast,15033.0
sym.imp.typeinfo for std::exception,15032.0
__maskrune,14962.0
CFStringGetLength,14927.0
sym.imp.std::__1::locale::has_facet(std::__1::locale::id&) const,14921.0
fgets,14763.0
sym.imp.std::out_of_range::~out_of_range(),14505.0
chdir,14277.0
sym.imp.typeinfo for std::runtime_error,14272.0
opendir$INODE64,14203.0
readdir$INODE64,14054.0
sscanf,14025.0
write,13905.0
inflate,13861.0
inflateEnd,13857.0
CFStringGetCString,13729.0
dlopen,13628.0
sym.imp.std::__1::cout,13612.0
CFStringCreateWithBytes,13564.0
objc_msgSendSuper2,13555.0
sym.imp.std::__1::__basic_string_common<true>::__throw_length_error() const,13535.0
popen,13510.0
sym.imp.std::__1::thread::~thread(),13500.0
pclose,13494.0
sym.imp.std::__1::__thread_struct::~__thread_struct(),13471.0
sym.imp.std::__1::__thread_local_data(),13471.0
sym.imp.std::__1::__thread_struct::__thread_struct(),13471.0
sym.imp.std::__1::thread::join(),13434.0
NSArray,13283.0
__cxa_guard_release,13175.0
__cxa_guard_acquire,13175.0
NSMutableData,13139.0
objc_autoreleaseReturnValue,13109.0
pthread_self,13085.0
sym.imp.vtable for __cxxabiv1::__class_type_info,13061.0
sym.imp.std::__1::__vector_base_common<true>::__throw_length_error() const,12934.0
__cxa_guard_abort,12574.0
socket,12491.0
sym.imp.vtable for std::out_of_range,12386.0
sym.imp.typeinfo for std::out_of_range,12312.0
NSMutableArray,12242.0
pthread_cond_wait,12082.0
getuid,12014.0
sym.imp.Swift.Int,11897.0
NSBundle,11853.0
rand,11822.0
kCFBooleanTrue,11654.0
getenv,11645.0
sym.imp.std::__1::__shared_weak_count::~__shared_weak_count(),11625.0
strtoul,11622.0
CFDataCreate,11594.0
sym.imp.std::__1::__vector_base_common<true>::__throw_out_of_range() const,11544.0
sym.imp.typeinfo for std::__1::__shared_weak_count,11455.0
pthread_mutex_init,11306.0
CFArrayGetCount,11248.0
connect,11236.0
localtime,11097.0
sym.imp.std::__1::__shared_weak_count::__release_weak(),11046.0
pipe,11018.0
__cxa_pure_virtual,11015.0
__stderrp,10871.0
NSMutableString,10845.0
sym.imp.std::exception::what() const,10842.0
sym.imp.vtable for __cxxabiv1::__vmi_class_type_info,10830.0
ferror,10810.0
CFArrayGetValueAtIndex,10693.0
sym.imp.std::__1::mutex::~mutex(),10661.0
objc_storeStrong,10654.0
gmtime_r,10621.0
waitpid,10592.0
realloc,10579.0
sym.imp.std::__1::chrono::steady_clock::now(),10452.0
fprintf,10437.0
sym.imp.std::__1::mutex::lock(),10422.0
sym.imp.std::__1::mutex::unlock(),10422.0
CFDataGetBytePtr,10404.0
strtod,10398.0
sym.imp.std::runtime_error::what() const,10358.0
sym.imp.std::invalid_argument::~invalid_argument(),10302.0
getpwuid,10280.0
_NSConcreteStackBlock,10199.0
CFDataGetLength,10174.0
fcntl,10149.0
sym.imp.std::__1::__shared_weak_count::__get_deleter(std::type_info const&) const,9925.0
sym.imp.std::exception_ptr::~exception_ptr(),9918.0
sym.imp.std::exception_ptr::exception_ptr(std::exception_ptr const&),9890.0
_NSConcreteGlobalBlock,9765.0
uuid_unparse,9765.0
CFURLCreateWithString,9757.0
sym.imp.std::__1::condition_variable::~condition_variable(),9743.0
sym.imp.typeinfo for long long,9726.0
getcwd,9724.0
__assert_rtn,9722.0
sym.imp.typeinfo for std::invalid_argument,9704.0
sym.imp.std::rethrow_exception(std::exception_ptr),9690.0
NSDate,9654.0
sym.imp.std::__1::locale::locale(),9635.0
sym.imp.vtable for std::invalid_argument,9615.0
sym.imp.std::__1::condition_variable::notify_one(),9604.0
sym.imp.std::__1::condition_variable::wait(std::__1::unique_lock<std::__1::mutex>&),9578.0
dup2,9547.0
mktime,9503.0
signal,9486.0
rename,9421.0
NSFileManager,9392.0
sym.imp.SingleValueEncodingContainer.encode,9392.0
kCFHTTPVersion1_1,9378.0
inflateInit2_,9371.0
sym.imp.vtable for __cxxabiv1::__pointer_type_info,9354.0
sym.imp.std::domain_error::~domain_error(),9346.0
sym.imp.std::__1::__assoc_sub_state::__sub_wait(std::__1::unique_lock<std::__1::mutex>&),9334.0
srand,9331.0
usleep,9330.0
NSNull,9303.0
crc32,9250.0
setsockopt,9239.0
sym.imp.std::__1::chrono::system_clock::now(),9236.0
sym.imp.vtable for __cxxabiv1::__function_type_info,9231.0
NSProcessInfo,9224.0
sym.imp.SingleValueDecodingContainer.decode,9224.0
pthread_cond_signal,9210.0
CFReadStreamSetProperty,9194.0
pthread_cond_init,9143.0
CFReadStreamCopyProperty,9138.0
syslog,9093.0
objc_enumerationMutation,9066.0
pthread_attr_init,8965.0
getgid,8958.0
CFReadStreamOpen,8931.0
kill,8927.0
sym.imp.typeinfo for std::domain_error,8912.0
objc_autorelease,8856.0
NSTask,8849.0
sym.imp.vtable for std::domain_error,8849.0
inflateInit_,8808.0
dispatch_once,8801.0
CFReadStreamRead,8789.0
setsid,8787.0
CFReadStreamClose,8784.0
sym.imp.typeinfo for bool,8759.0
sym.imp.typeinfo for void,8729.0
pthread_sigmask,8689.0
SecItemExport,8623.0
sym.imp.typeinfo for double,8608.0
CFHTTPMessageCreateRequest,8591.0
CFHTTPMessageGetResponseStatusCode,8574.0
sym.imp.vtable for std::exception,8518.0
gettimeofday,8505.0
CFURLGetString,8503.0
NSNumber,8496.0
CFHTTPMessageSetHeaderFieldValue,8495.0
LSGetApplicationForURL,8469.0
proc_pidpath,8461.0
atof,8452.0
execv,8452.0
strerror,8425.0
atoll,8413.0
CFReadStreamCreateForHTTPRequest,8411.0
kCFStreamPropertyHTTPResponseHeader,8365.0
ftell,8336.0
sym.imp.typeinfo for std::bad_alloc,8330.0
CFHTTPMessageSetBody,8294.0
CFReadStreamGetStatus,8293.0
NSException,8289.0
kCFStreamPropertyHTTPShouldAutoredirect,8222.0
CFURLCopyLastPathComponent,8191.0
sym.imp.std::__1::collate<char>::id,8172.0
strdup,8155.0
NSDateFormatter,8113.0
CFRetain,8026.0
objc_msgSend_stret,8013.0
sym.imp.std::__1::__get_collation_name(char const*),7983.0
sym.imp.std::__1::locale::name() const,7983.0
sym.imp.std::__1::__match_any_but_newline<char>::__exec(std::__1::__state<char>&) const,7981.0
NSMutableDictionary,7939.0
kevent,7927.0
kqueue,7910.0
sym.imp.std::__1::regex_error::~regex_error(),7905.0
sym.imp.std::__1::regex_error::regex_error(std::__1::regex_constants::error_type),7905.0
__cxa_get_exception_ptr,7877.0
NSDictionary,7863.0
NSApp,7854.0
sym.imp.typeinfo for std::__1::regex_error,7822.0
NSPipe,7805.0
mmap,7781.0
sym.imp.UInt8,7771.0
sigaction,7727.0
getgrgid,7725.0
get_crc_table,7716.0
munmap,7697.0
ioctl,7668.0
getsockopt,7643.0
pthread_attr_getstacksize,7629.0
getgrnam,7585.0
lseek,7529.0
IOIteratorNext,7485.0
CFDictionarySetValue,7465.0
NSWindow,7334.0
sym.imp.Hasher,7306.0
IOServiceGetMatchingServices,7300.0
CCCrypt,7290.0
sym.imp.std::__1::condition_variable::notify_all(),7268.0
bind,7259.0
getaddrinfo,7256.0
sym.imp.std::__1::to_string(int),7247.0
freeaddrinfo,7243.0
NSOperationQueue,7241.0
strcpy,7224.0
CFDictionaryCreateMutable,7224.0
__objc_personality_v0,7129.0
NSURL,7127.0
pthread_cond_broadcast,7049.0
sym.imp.Swift.Double,7033.0
sleep,7011.0
NSFileHandle,6917.0
listen,6875.0
NSUserDefaults,6858.0
NSWorkspace,6823.0
asctime,6807.0
NSViewController,6739.0
sym.imp.std::set_terminate(void (*)()),6731.0
pthread_detach,6697.0
CFNumberCreate,6639.0
snprintf,6599.0
dlclose,6535.0
NSLog,6521.0
strcat,6478.0
accept,6379.0
CFGetTypeID,6350.0
mach_absolute_time,6311.0
sym.imp.Bool,6279.0
mach_timebase_info,6258.0
fstat$INODE64,6206.0
objc_end_catch,6177.0
objc_begin_catch,6177.0
NSCharacterSet,6121.0
_Block_object_assign,6101.0
CFErrorGetCode,6083.0
NSJSONSerialization,6063.0
feof,6039.0
fputs,6000.0
getsockname,5897.0
sym.imp.Swift._SwiftObject,5880.0
shutdown,5873.0
send,5870.0
NSSearchPathForDirectoriesInDomains,5860.0
uuid_generate_random,5850.0
NSApplication,5845.0
kSecClass,5781.0
SecItemCopyMatching,5781.0
NSButton,5744.0
sprintf,5740.0
_Block_object_dispose,5725.0
SecItemDelete,5713.0
printf,5664.0
objc_retainAutoreleaseReturnValue,5664.0
NSURLSession,5652.0
getpeername,5651.0
kCFAllocatorSystemDefault,5590.0
NSView,5575.0
CFStringCreateExternalRepresentation,5549.0
pthread_attr_setdetachstate,5517.0
NSImage,5515.0
OBJC_EHTYPE_$_NSException,5497.0
pthread_mutex_destroy,5479.0
_dispatch_main_q,5439.0
madvise,5374.0
dispatch_async,5353.0
umask,5330.0
gai_strerror,5330.0
raise,5314.0
recv,5295.0
strchr,5289.0
NSApplicationMain,5246.0
getrlimit,5238.0
NSThread,5221.0
inet_addr,5212.0
kCFTypeDictionaryValueCallBacks,5144.0
NSMutableURLRequest,5135.0
execve,5134.0
sigaltstack,5117.0
nanosleep,5107.0
kCFTypeDictionaryKeyCallBacks,5061.0
__memcpy_chk,5034.0
pthread_cond_timedwait_relative_np,5023.0
SecTransformExecute,5005.0
SecTransformSetAttribute,5005.0
kSecTransformInputAttributeName,5005.0
sysctlbyname,4978.0
sym.imp.Int64,4969.0
strncpy,4968.0
IORegistryEntryGetParentEntry,4924.0
strstr,4907.0
CFNumberGetValue,4900.0
recvmsg,4891.0
fileno,4872.0
kSecAttrKeyType,4867.0
__tolower,4857.0
sendmsg,4852.0
pread,4847.0
